epi_week,dengue_cases
2019-W35,414
2019-W36,327
2019-W37,317
2019-W38,301
2019-W39,261
2019-W40,246
2019-W41,227
2019-W42,239
2019-W43,242
2019-W44,308
2019-W45,322
2019-W46,373
2019-W47,331
2019-W48,295
2019-W49,281
2019-W50,257
2019-W51,226
2019-W52,290
2020-W01,303
2020-W02,343
2020-W03,404
2020-W04,309
2020-W05,370
2020-W06,400
2020-W07,380
2020-W08,381
2020-W09,374
2020-W10,375
2020-W11,389
2020-W12,368
2020-W13,377
2020-W14,315
2020-W15,343
2020-W16,360
2020-W17,400
2020-W18,390
2020-W19,507
2020-W20,526
2020-W21,619
2020-W22,732
2020-W23,868
2020-W24,1153
2020-W25,1371
2020-W26,1460
2020-W27,1448
2020-W28,1667
2020-W29,1729
2020-W30,1792
2020-W31,1378
2020-W32,1667
2020-W33,1339
2020-W34,1287
2020-W35,1154
2020-W36,938
2020-W37,725
2020-W38,671
2020-W39,591
2020-W40,605
2020-W41,529
2020-W42,592
2020-W43,565
2020-W44,440
2020-W45,408
2020-W46,355
2020-W47,258
2020-W48,279
2020-W49,228
2020-W50,227
2020-W51,236
2020-W52,390
2021-W01,194
2021-W02,166
2021-W03,152
2021-W04,135
2021-W05,141
2021-W06,143
2021-W07,148
2021-W08,146
2021-W09,140
2021-W10,145
2021-W11,129
2021-W12,120
2021-W13,113
2021-W14,102
2021-W15,112
2021-W16,129
2021-W17,84
2021-W18,117
2021-W19,92
2021-W20,119
2021-W21,130
2021-W22,118
2021-W23,137
2021-W24,135
2021-W25,127
2021-W26,112
2021-W27,104
2021-W28,75
2021-W29,80
2021-W30,82
2021-W31,70
2021-W32,81
2021-W33,56
2021-W34,53
2021-W35,46
2021-W36,61
2021-W37,74
2021-W38,110
2021-W39,105
2021-W40,104
2021-W41,85
2021-W42,76
2021-W43,75
2021-W44,59
2021-W45,42
2021-W46,56
2021-W47,63
2021-W48,48
2021-W49,65
2021-W50,61
2021-W51,68
2021-W52,79
2022-W01,106
2022-W02,146
2022-W03,180
2022-W04,171
2022-W05,154
2022-W06,169
2022-W07,206
2022-W08,201
2022-W09,263
2022-W10,369
2022-W11,421
2022-W12,441
2022-W13,510
2022-W14,643
2022-W15,734
2022-W16,942
2022-W17,1003
2022-W18,846
2022-W19,1315
2022-W20,1276
2022-W21,1567
2022-W22,1454
2022-W23,1460
2022-W24,1254
2022-W25,1172
2022-W26,1187
2022-W27,1164
2022-W28,918
2022-W29,1036
2022-W30,1092
2022-W31,896
2022-W32,879
2022-W33,679
2022-W34,662
2022-W35,581
2022-W36,570
2022-W37,544
2022-W38,472
2022-W39,426
2022-W40,397
2022-W41,376
2022-W42,373
2022-W43,314
2022-W44,318
2022-W45,294
2022-W46,315
2022-W47,265
2022-W48,242
2022-W49,327
2022-W50,290
2022-W51,270
2022-W52,285
