Data Series,2022 Dec ,2022 Nov ,2022 Oct ,2022 Sep ,2022 Aug ,2022 Jul ,2022 Jun ,2022 May ,2022 Apr ,2022 Mar ,2022 Feb ,2022 Jan ,2021 Dec ,2021 Nov ,2021 Oct ,2021 Sep ,2021 Aug ,2021 Jul ,2021 Jun ,2021 May ,2021 Apr ,2021 Mar ,2021 Feb ,2021 Jan ,2020 Dec ,2020 Nov ,2020 Oct ,2020 Sep ,2020 Aug ,2020 Jul ,2020 Jun ,2020 May ,2020 Apr ,2020 Mar ,2020 Feb ,2020 Jan ,2019 Dec ,2019 Nov ,2019 Oct ,2019 Sep ,2019 Aug ,2019 Jul ,2019 Jun ,2019 May ,2019 Apr ,2019 Mar ,2019 Feb ,2019 Jan ,2018 Dec ,2018 Nov ,2018 Oct ,2018 Sep ,2018 Aug ,2018 Jul ,2018 Jun ,2018 May ,2018 Apr ,2018 Mar ,2018 Feb ,2018 Jan ,2017 Dec ,2017 Nov ,2017 Oct ,2017 Sep ,2017 Aug ,2017 Jul ,2017 Jun ,2017 May ,2017 Apr ,2017 Mar ,2017 Feb ,2017 Jan ,2016 Dec ,2016 Nov ,2016 Oct ,2016 Sep ,2016 Aug ,2016 Jul ,2016 Jun ,2016 May ,2016 Apr ,2016 Mar ,2016 Feb ,2016 Jan ,2015 Dec ,2015 Nov ,2015 Oct ,2015 Sep ,2015 Aug ,2015 Jul ,2015 Jun ,2015 May ,2015 Apr ,2015 Mar ,2015 Feb ,2015 Jan ,2014 Dec ,2014 Nov ,2014 Oct ,2014 Sep ,2014 Aug ,2014 Jul ,2014 Jun ,2014 May ,2014 Apr ,2014 Mar ,2014 Feb ,2014 Jan ,2013 Dec ,2013 Nov ,2013 Oct ,2013 Sep ,2013 Aug ,2013 Jul ,2013 Jun ,2013 May ,2013 Apr ,2013 Mar ,2013 Feb ,2013 Jan ,2012 Dec ,2012 Nov ,2012 Oct ,2012 Sep ,2012 Aug ,2012 Jul ,2012 Jun ,2012 May ,2012 Apr ,2012 Mar ,2012 Feb ,2012 Jan 
Total,1000880,741814,567367,544151,439189,422172,476079,345768,231568,155153,112134,118153,172894,109791,76646,75218,57612,52215,50251,48587,50834,56512,43352,39195,51173,28202,16512,16452,13078,10304,8528,6265,5237,207985,420253,759018,1271780,1072972,875060,848901,814768,738793,1048217,844277,811810,953556,729915,700668,1283525,1043293,832460,809744,780692,719883,955818,872265,774528,950291,686178,669652,1238572,983609,785667,776151,731503,683886,917203,814350,789348,863448,608797,696318,1185494,914424,759911,779910,629682,645430,879990,797697,739805,829374,686304,626184,1142361,904417,715482,728534,674736,630628,868634,789999,695965,758811,612946,602818,1082589,872185,757472,713298,617255,606034,896499,730861,670221,757244,572401,626646,1077593,895821,717544,697010,639716,587318,870655,697209,605614,737164,586868,534554,969868,795232,660133,615076,573261,567318,785014,672397,618408,687345,528376,575380
  Air,802372,616113,445703,423496,353053,340952,407812,311306,208609,139587,84048,85117,132771,74678,45254,41299,38396,34051,30694,29754,25895,26336,23013,24025,23810,18843,16312,16320,12936,10151,8399,6213,5156,169903,336590,593898,1029844,874748,705809,680835,626076,585753,842881,686037,650310,761095,572580,568322,1017890,861092,671392,639916,617271,576097,773912,718874,632948,756088,545445,550455,982892,817157,648313,631680,597199,560828,766096,684044,636536,708879,502463,564600,974723,773054,627721,647384,519051,532170,728965,652406,600065,675124,542520,497410,920227,750693,589746,590148,532272,509449,709001,633056,562934,616144,481183,476524,865374,716594,614387,580512,494973,487019,725083,595285,539291,604105,448791,492364,864075,728060,589119,561024,501336,476835,703498,561989,492933,583066,466876,431617,783456,661194,536331,498279,453977,451896,624639,550627,500320,547932,422488,454129
  Sea,198508,125701,121664,120655,86136,81220,68267,34462,22959,15566,28086,33036,40123,35113,31392,33919,19216,18164,19557,18833,24939,30176,20339,15170,27363,9359,200,132,142,153,129,52,81,38082,83663,165120,241936,198224,169251,168066,188692,153040,205336,158240,161500,192461,157335,132346,265635,182201,161068,169828,163421,143786,181906,153391,141580,194203,140733,119197,255680,166452,137354,144471,134304,123058,151107,130306,152812,154569,106334,131718,210771,141370,132190,132526,110631,113260,151025,145291,139740,154250,143784,128774,222134,153724,125736,138386,142464,121179,159633,156943,133031,142667,131763,126294,217215,155591,143085,132786,122282,119015,171416,135576,130930,153139,123610,134282,213518,167761,128425,135986,138380,110483,167157,135220,112681,154098,119992,102937,186412,134038,123802,116797,119284,115422,160375,121770,118088,139413,105888,121251
