latlong,postal_code,postal_sector,postal_district,general_location
"1.3141498,103.9151063",425777,42,15,"Katong, Joo Chiat, Amber Road"
"1.395391,103.887995",542326,54,19,"Serangoon Garden, Hougang, Punggol"
"1.3252261,103.9538284",486112,48,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.4362908,103.798445",730663,73,25,"Kranji, Woodgrove"
"1.417332,103.840775",764502,76,27,"Yishun, Sembawang"
"1.350019,103.695288",640865,64,22,Jurong
"1.330235,103.858813",310195,31,12,"Balestier, Toa Payoh, Serangoon"
"1.4004699,103.7497798",680657,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.445253,103.805222",731784,73,25,"Kranji, Woodgrove"
"1.3734374,103.8907796",530521,53,19,"Serangoon Garden, Hougang, Punggol"
"1.310233,103.7621",127163,12,5,"Pasir Panjang, Hong Leong Garden, Clementi New Town"
"1.332916,103.932544",460507,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.330142,103.88773",370022,37,13,"Macpherson, Braddell"
"1.41968,103.835285",760615,76,27,"Yishun, Sembawang"
"1.416599,103.83952",760864,76,27,"Yishun, Sembawang"
"1.3189645,103.7466794",600411,60,22,Jurong
"1.297328,103.887531",437874,43,15,"Katong, Joo Chiat, Amber Road"
"1.3506,103.889391",530172,53,19,"Serangoon Garden, Hougang, Punggol"
"1.326414,103.908897",419572,41,14,"Geylang, Eunos"
"1.369931,103.949708",510537,51,18,"Tampines, Pasir Ris"
"1.379348,103.842233",560645,56,20,"Bishan, Ang Mo Kio"
"1.330783,103.905378",410644,41,14,"Geylang, Eunos"
"1.298375,103.796545",140061,14,3,"Queenstown, Tiong Bahru"
"1.352429,103.9557279",520305,52,18,"Tampines, Pasir Ris"
"1.309707,103.771164",120425,12,5,"Pasir Panjang, Hong Leong Garden, Clementi New Town"
"1.3477112,103.9375611",520816,52,18,"Tampines, Pasir Ris"
"1.4345075,103.835521",760223,76,27,"Yishun, Sembawang"
"1.3000332,103.9000913",439961,43,15,"Katong, Joo Chiat, Amber Road"
"1.376559,103.8886349",533699,53,19,"Serangoon Garden, Hougang, Punggol"
"1.3521987,103.9571233",520314,52,18,"Tampines, Pasir Ris"
"1.324511,103.863961",328073,32,12,"Balestier, Toa Payoh, Serangoon"
"1.322195,103.823457",297722,29,11,"Watten Estate, Novena, Thomson"
"1.380174,103.840436",560629,56,20,"Bishan, Ang Mo Kio"
"1.32885,103.914746",417390,41,14,"Geylang, Eunos"
"1.3179983,103.8890095",389753,38,14,"Geylang, Eunos"
