latlong,postal_code,postal_sector,postal_district,general_location
"1.418103,103.842088",762672,76,27,"Yishun, Sembawang"
"1.379252,103.891935",530547,53,19,"Serangoon Garden, Hougang, Punggol"
"1.3057876,103.855139",200633,20,8,Little India
"1.378255,103.891688",530545,53,19,"Serangoon Garden, Hougang, Punggol"
"1.4292868,103.8420278",760325,76,27,"Yishun, Sembawang"
"1.322875,103.869208",330060,33,12,"Balestier, Toa Payoh, Serangoon"
"1.33924,103.884269",539719,53,19,"Serangoon Garden, Hougang, Punggol"
"1.393768,103.87348",793450,79,28,Seletar
"1.402765,103.900472",824272,82,19,"Serangoon Garden, Hougang, Punggol"
"1.432823,103.784758",730355,73,25,"Kranji, Woodgrove"
"1.373805,103.85637",560544,56,20,"Bishan, Ang Mo Kio"
"1.4404391,103.7909712",730835,73,25,"Kranji, Woodgrove"
"1.365215,103.841604",560218,56,20,"Bishan, Ang Mo Kio"
"1.393929,103.906351",540185,54,19,"Serangoon Garden, Hougang, Punggol"
"1.400438,103.906198",824199,82,19,"Serangoon Garden, Hougang, Punggol"
"1.321152,103.758058",129156,12,5,"Pasir Panjang, Hong Leong Garden, Clementi New Town"
"1.376214,103.940589",510638,51,18,"Tampines, Pasir Ris"
"1.33261,103.845121",310156,31,12,"Balestier, Toa Payoh, Serangoon"
"1.346313,103.749331",650207,65,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.3356111,103.8442862",310144,31,12,"Balestier, Toa Payoh, Serangoon"
"1.378132,103.73688",680470,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.4363934,103.790453",732893,73,25,"Kranji, Woodgrove"
"1.30204,103.848325",228187,22,9,"Orchard, Cairnhill, River Valley"
"1.331051,103.929089",460517,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.345653,103.880955",538501,53,19,"Serangoon Garden, Hougang, Punggol"
"1.2851553,103.8213997",151116,15,3,"Queenstown, Tiong Bahru"
"1.352176,103.934793",520845,52,18,"Tampines, Pasir Ris"
"1.388645,103.873022",790403,79,28,Seletar
"1.298905,103.887267",439829,43,15,"Katong, Joo Chiat, Amber Road"
"1.3597312,103.7615674",668785,66,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.367205,103.895251",530306,53,19,"Serangoon Garden, Hougang, Punggol"
"1.422624,103.833815",760776,76,27,"Yishun, Sembawang"
"1.3810579,103.77378",670249,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.3664214,103.9585545",519073,51,18,"Tampines, Pasir Ris"
"1.3550035,103.9499435",520259,52,18,"Tampines, Pasir Ris"
"1.3931389,103.7476159",680761,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.383353,103.7689271",670415,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.381515,103.740272",680424,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.3313502,103.8745033",349979,34,13,"Macpherson, Braddell"
"1.358719,103.8464769",570235,57,20,"Bishan, Ang Mo Kio"
"1.313757,103.915086",425777,42,15,"Katong, Joo Chiat, Amber Road"
"1.3761532,103.9447747",510504,51,18,"Tampines, Pasir Ris"
"1.374663,103.896376",530403,53,19,"Serangoon Garden, Hougang, Punggol"
"1.303677,103.90725",440074,44,15,"Katong, Joo Chiat, Amber Road"
"1.344213,103.957059",520232,52,18,"Tampines, Pasir Ris"
"1.433414,103.787548",730369,73,25,"Kranji, Woodgrove"
"1.363974,103.851983",560354,56,20,"Bishan, Ang Mo Kio"
"1.396023,103.90249",541299,54,19,"Serangoon Garden, Hougang, Punggol"
"1.317252,103.901378",400848,40,14,"Geylang, Eunos"
"1.3497514,103.9344215",520830,52,18,"Tampines, Pasir Ris"
"1.3548645,103.881188",535533,53,19,"Serangoon Garden, Hougang, Punggol"
"1.368874,103.895518",530358,53,19,"Serangoon Garden, Hougang, Punggol"
"1.401972,103.747325",681672,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.336104,103.765429",598163,59,21,"Upper Bukit Timah, Clementi Park, Ulu Pandan"
"1.348281,103.758589",650271,65,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.3660098,103.8899484",530701,53,19,"Serangoon Garden, Hougang, Punggol"
"1.332849,103.910826",470126,47,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.352331,103.756482",659801,65,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.3487321,103.9309121",521891,52,18,"Tampines, Pasir Ris"
"1.432832,103.796894",730557,73,25,"Kranji, Woodgrove"
"1.429577,103.797106",732574,73,25,"Kranji, Woodgrove"
"1.312548,103.9028469",428612,42,15,"Katong, Joo Chiat, Amber Road"
"1.37482,103.876524",550502,55,19,"Serangoon Garden, Hougang, Punggol"
"1.375994,103.946348",510501,51,18,"Tampines, Pasir Ris"
"1.347334,103.854089",570168,57,20,"Bishan, Ang Mo Kio"
"1.399696,103.744633",680616,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.4325476,103.8332133",760160,76,27,"Yishun, Sembawang"
"1.393663,103.909314",821122,82,19,"Serangoon Garden, Hougang, Punggol"
"1.375965,103.768159",670141,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.345008,103.8834697",538088,53,19,"Serangoon Garden, Hougang, Punggol"
"1.349515,103.954147",522299,52,18,"Tampines, Pasir Ris"
"1.356283,103.876353",549109,54,19,"Serangoon Garden, Hougang, Punggol"
"1.346151,103.877899",535799,53,19,"Serangoon Garden, Hougang, Punggol"
"1.446859,103.798205",730771,73,25,"Kranji, Woodgrove"
"1.3724597,103.8992195",530354,53,19,"Serangoon Garden, Hougang, Punggol"
"1.349444,103.852755",570186,57,20,"Bishan, Ang Mo Kio"
"1.2938313,103.8113744",142061,14,3,"Queenstown, Tiong Bahru"
"1.337104,103.852796",310050,31,12,"Balestier, Toa Payoh, Serangoon"
"1.369888,103.776106",679517,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.440759,103.80312",734683,73,25,"Kranji, Woodgrove"
"1.4347046,103.7909724",730516,73,25,"Kranji, Woodgrove"
"1.444818,103.790498",730876,73,25,"Kranji, Woodgrove"
"1.41512,103.841359",760512,76,27,"Yishun, Sembawang"
"1.376774,103.878801",530956,53,19,"Serangoon Garden, Hougang, Punggol"
"1.404313,103.907311",821604,82,19,"Serangoon Garden, Hougang, Punggol"
"1.377786,103.737351",680469,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.382804,103.768984",670414,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.286875,103.816046",150068,15,3,"Queenstown, Tiong Bahru"
"1.446708,103.773834",730218,73,25,"Kranji, Woodgrove"
"1.362476,103.950914",520495,52,18,"Tampines, Pasir Ris"
"1.3563593,103.9401342",520519,52,18,"Tampines, Pasir Ris"
"1.336035,103.852547",310064,31,12,"Balestier, Toa Payoh, Serangoon"
"1.387354,103.763652",670652,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.352158,103.956256",520304,52,18,"Tampines, Pasir Ris"
"1.388109,103.892735",542202,54,19,"Serangoon Garden, Hougang, Punggol"
"1.3284602,103.8568548",320057,32,12,"Balestier, Toa Payoh, Serangoon"
"1.382912,103.899859",540108,54,19,"Serangoon Garden, Hougang, Punggol"
"1.3532789,103.726071",640412,64,22,Jurong
"1.33935,103.87079",347695,34,13,"Macpherson, Braddell"
"1.3752607,103.8860086",530685,53,19,"Serangoon Garden, Hougang, Punggol"
"1.312768,103.788325",273005,27,10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
"1.3183019,103.9085734",419804,41,14,"Geylang, Eunos"
"1.3601225,103.8609726",559834,55,19,"Serangoon Garden, Hougang, Punggol"
"1.3138232,103.8426327",308365,30,11,"Watten Estate, Novena, Thomson"
"1.3731537,103.8954011",530408,53,19,"Serangoon Garden, Hougang, Punggol"
"1.351652,103.929447",521878,52,18,"Tampines, Pasir Ris"
"1.397349,103.87394",798801,79,28,Seletar
"1.35642,103.873213",550211,55,19,"Serangoon Garden, Hougang, Punggol"
"1.350678,103.715384",640540,64,22,Jurong
"1.352494,103.931454",520877,52,18,"Tampines, Pasir Ris"
"1.392916,103.905784",541186,54,19,"Serangoon Garden, Hougang, Punggol"
"1.294745,103.808725",141082,14,3,"Queenstown, Tiong Bahru"
"1.354322,103.935746",520857,52,18,"Tampines, Pasir Ris"
"1.38102,103.840742",560628,56,20,"Bishan, Ang Mo Kio"
"1.3463009,103.8835893",537874,53,19,"Serangoon Garden, Hougang, Punggol"
"1.323236,103.912265",410114,41,14,"Geylang, Eunos"
"1.4349397,103.830911",760122,76,27,"Yishun, Sembawang"
"1.425672,103.843936",760350,76,27,"Yishun, Sembawang"
"1.43214,103.791166",730505,73,25,"Kranji, Woodgrove"
"1.393298,103.870986",792462,79,28,Seletar
"1.3784443,103.7712272",670235,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.362228,103.751212",650347,65,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.359577,103.891313",530250,53,19,"Serangoon Garden, Hougang, Punggol"
"1.37419,103.775762",670209,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.4409923,103.7777155",733012,73,25,"Kranji, Woodgrove"
"1.3550768,103.8362471",570024,57,20,"Bishan, Ang Mo Kio"
"1.368339,103.875556",550138,55,19,"Serangoon Garden, Hougang, Punggol"
"1.355122,103.86902",550233,55,19,"Serangoon Garden, Hougang, Punggol"
"1.3393409,103.767354",596720,59,21,"Upper Bukit Timah, Clementi Park, Ulu Pandan"
"1.345574,103.949446",521124,52,18,"Tampines, Pasir Ris"
"1.36892,103.95797",510442,51,18,"Tampines, Pasir Ris"
"1.421111,103.8386809",760640,76,27,"Yishun, Sembawang"
"1.3233673,103.886602",370090,37,13,"Macpherson, Braddell"
"1.274042,103.820931",090028,09,4,"Telok Blangah, Harbourfront"
"1.3312204,103.9311824",460502,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.4336254,103.7884995",730511,73,25,"Kranji, Woodgrove"
"1.2811407,103.827413",162119,16,3,"Queenstown, Tiong Bahru"
"1.350812,103.9550022",520295,52,18,"Tampines, Pasir Ris"
"1.312837,103.909402",425667,42,15,"Katong, Joo Chiat, Amber Road"
"1.3089894,103.8553812",209588,20,8,Little India
"1.335992,103.852153",310063,31,12,"Balestier, Toa Payoh, Serangoon"
"1.302153,103.848903",228051,22,9,"Orchard, Cairnhill, River Valley"
"1.344224,103.713645",641197,64,22,Jurong
"1.376701,103.939826",510639,51,18,"Tampines, Pasir Ris"
"1.354073,103.95286",520216,52,18,"Tampines, Pasir Ris"
"1.392511,103.903718",540197,54,19,"Serangoon Garden, Hougang, Punggol"
"1.3264972,103.9534618",488840,48,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.3146002,103.7715696",120352,12,5,"Pasir Panjang, Hong Leong Garden, Clementi New Town"
"1.310068,103.893632",437361,43,15,"Katong, Joo Chiat, Amber Road"
"1.350596,103.704285",642271,64,22,Jurong
"1.308676,103.884518",390045,39,14,"Geylang, Eunos"
"1.312455,103.894584",439444,43,15,"Katong, Joo Chiat, Amber Road"
"1.335212,103.855267",310038,31,12,"Balestier, Toa Payoh, Serangoon"
"1.305933,103.832938",228209,22,9,"Orchard, Cairnhill, River Valley"
"1.34356,103.699224",640633,64,22,Jurong
"1.374278,103.856246",560543,56,20,"Bishan, Ang Mo Kio"
"1.373888,103.8958509",530404,53,19,"Serangoon Garden, Hougang, Punggol"
"1.308019,103.904762",423718,42,15,"Katong, Joo Chiat, Amber Road"
"1.337957,103.856764",310008,31,12,"Balestier, Toa Payoh, Serangoon"
"1.3824486,103.9012119",540103,54,19,"Serangoon Garden, Hougang, Punggol"
"1.356562,103.88881",530237,53,19,"Serangoon Garden, Hougang, Punggol"
"1.322645,103.915034",419012,41,14,"Geylang, Eunos"
"1.294971,103.838957",239328,23,9,"Orchard, Cairnhill, River Valley"
"1.3119905,103.9291051",455644,45,15,"Katong, Joo Chiat, Amber Road"
"1.387449,103.8969539",542206,54,19,"Serangoon Garden, Hougang, Punggol"
"1.367557,103.950312",510562,51,18,"Tampines, Pasir Ris"
"1.444508,103.798072",738909,73,25,"Kranji, Woodgrove"
"1.4459076,103.8011797",733786,73,25,"Kranji, Woodgrove"
"1.3297705,103.8676521",358828,35,13,"Macpherson, Braddell"
"1.31145,103.881566",398751,39,14,"Geylang, Eunos"
"1.315508,103.933928",469338,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.3673888,103.8729317",550143,55,19,"Serangoon Garden, Hougang, Punggol"
"1.3163645,103.8787626",380051,38,14,"Geylang, Eunos"
"1.313156,103.933604",NIL,NI,,
"1.3288058,103.9243769",461045,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.3148136,103.9029027",427272,42,15,"Katong, Joo Chiat, Amber Road"
"1.370416,103.898324",530341,53,19,"Serangoon Garden, Hougang, Punggol"
"1.342695,103.855136",310218,31,12,"Balestier, Toa Payoh, Serangoon"
"1.319643,103.747097",600412,60,22,Jurong
"1.401466,103.750781",680662,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.378844,103.93795",510650,51,18,"Tampines, Pasir Ris"
"1.315881,103.764104",121440,12,5,"Pasir Panjang, Hong Leong Garden, Clementi New Town"
"1.353457,103.830802",575480,57,20,"Bishan, Ang Mo Kio"
"1.367134,103.864232",559335,55,19,"Serangoon Garden, Hougang, Punggol"
"1.349081,103.876999",531007,53,19,"Serangoon Garden, Hougang, Punggol"
"1.367584,103.8776011",545390,54,19,"Serangoon Garden, Hougang, Punggol"
"1.31175,103.897224",430003,43,15,"Katong, Joo Chiat, Amber Road"
"1.288099,103.8187299",150080,15,3,"Queenstown, Tiong Bahru"
"1.346994,103.734238",600308,60,22,Jurong
"1.374903,103.875012",550531,55,19,"Serangoon Garden, Hougang, Punggol"
"1.306245,103.801481",140097,14,3,"Queenstown, Tiong Bahru"
"1.331171,103.887015",370021,37,13,"Macpherson, Braddell"
"1.290733,103.8018759",140165,14,3,"Queenstown, Tiong Bahru"
"1.346321,103.695769",640812,64,22,Jurong
"1.361609,103.958084",520498,52,18,"Tampines, Pasir Ris"
"1.308018,103.795645",271004,27,10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
"1.3588704,103.8438374",570285,57,20,"Bishan, Ang Mo Kio"
"1.352018,103.933357",521882,52,18,"Tampines, Pasir Ris"
"1.340226,103.685904",640904,64,22,Jurong
"1.3666511,103.8478806",560328,56,20,"Bishan, Ang Mo Kio"
"1.3208996,103.7632197",120204,12,5,"Pasir Panjang, Hong Leong Garden, Clementi New Town"
"1.362187,103.75119",650347,65,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.334712,103.879668",360009,36,13,"Macpherson, Braddell"
"1.394401,103.874053",791451,79,28,Seletar
"1.3206874,103.8610107",322106,32,12,"Balestier, Toa Payoh, Serangoon"
"1.309498,103.883285",391030,39,14,"Geylang, Eunos"
"1.3336819,103.9447658",487746,48,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.3359116,103.8841805",367955,36,13,"Macpherson, Braddell"
"1.316096,103.890835",387882,38,14,"Geylang, Eunos"
"1.387988,103.773211",670469,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.312026,103.900871",427464,42,15,"Katong, Joo Chiat, Amber Road"
"1.392652,103.896942",542257,54,19,"Serangoon Garden, Hougang, Punggol"
"1.3587372,103.8421016",570264,57,20,"Bishan, Ang Mo Kio"
"1.329829,103.933835",460403,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.38875,103.893254",540202,54,19,"Serangoon Garden, Hougang, Punggol"
"1.3329558,103.9445537",487647,48,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.345539,103.749848",650210,65,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.34558,103.851005",570131,57,20,"Bishan, Ang Mo Kio"
"1.3760131,103.8399831",560155,56,20,"Bishan, Ang Mo Kio"
"1.380042,103.889492",530559,53,19,"Serangoon Garden, Hougang, Punggol"
"1.314882,103.764053",129588,12,5,"Pasir Panjang, Hong Leong Garden, Clementi New Town"
"1.3188593,103.9192756",455798,45,15,"Katong, Joo Chiat, Amber Road"
"1.315058,103.9242979",458851,45,15,"Katong, Joo Chiat, Amber Road"
"1.343675,103.714393",640199,64,22,Jurong
"1.3139671,103.8773437",387424,38,14,"Geylang, Eunos"
"1.35909,103.947239",520416,52,18,"Tampines, Pasir Ris"
"1.277192,103.819491",090012,09,4,"Telok Blangah, Harbourfront"
"1.351129,103.867686",550321,55,19,"Serangoon Garden, Hougang, Punggol"
"1.299799,103.888796",438042,43,15,"Katong, Joo Chiat, Amber Road"
"1.438249,103.831106",768100,76,27,"Yishun, Sembawang"
"1.333821,103.90865",410667,41,14,"Geylang, Eunos"
"1.278248,103.829633",160140,16,3,"Queenstown, Tiong Bahru"
"1.309357,103.880857",399915,39,14,"Geylang, Eunos"
"1.338232,103.703098",643664,64,22,Jurong
"1.3548212,103.9586726",520385,52,18,"Tampines, Pasir Ris"
"1.357555,103.953124",525450,52,18,"Tampines, Pasir Ris"
"1.37882,103.884847",530577,53,19,"Serangoon Garden, Hougang, Punggol"
"1.351956,103.955739",520303,52,18,"Tampines, Pasir Ris"
"1.351521,103.887057",530131,53,19,"Serangoon Garden, Hougang, Punggol"
"1.348844,103.875143",550421,55,19,"Serangoon Garden, Hougang, Punggol"
"1.4297089,103.793929",730546,73,25,"Kranji, Woodgrove"
"1.3672946,103.8903491",536952,53,19,"Serangoon Garden, Hougang, Punggol"
"1.315175,103.905432",427334,42,15,"Katong, Joo Chiat, Amber Road"
"1.322889,103.861294",320003,32,12,"Balestier, Toa Payoh, Serangoon"
"1.3782006,103.934067",510751,51,18,"Tampines, Pasir Ris"
"1.340544,103.848102",310106,31,12,"Balestier, Toa Payoh, Serangoon"
"1.275562,103.810284",100069,10,4,"Telok Blangah, Harbourfront"
"1.32723,103.944421",465422,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.3634317,103.9524395",522494,52,18,"Tampines, Pasir Ris"
"1.3476655,103.9324465",521895,52,18,"Tampines, Pasir Ris"
"1.321065,103.766896",120308,12,5,"Pasir Panjang, Hong Leong Garden, Clementi New Town"
"1.378041,103.744949",680252,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.3504537,103.8864328",530134,53,19,"Serangoon Garden, Hougang, Punggol"
"1.3174242,103.9018548",400846,40,14,"Geylang, Eunos"
"1.374975,103.765451",670153,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.358003,103.880734",548078,54,19,"Serangoon Garden, Hougang, Punggol"
"1.323456,103.842993",308526,30,11,"Watten Estate, Novena, Thomson"
"1.33074,103.904784",410635,41,14,"Geylang, Eunos"
"1.36274,103.749213",650341,65,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.3824091,103.768858",670413,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.316501,103.841571",307740,30,11,"Watten Estate, Novena, Thomson"
"1.444448,103.791807",730881,73,25,"Kranji, Woodgrove"
"1.3728096,103.8896142",530517,53,19,"Serangoon Garden, Hougang, Punggol"
"1.37461,103.770801",670131,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.3680406,103.956359",510111,51,18,"Tampines, Pasir Ris"
"1.338778,103.735562",600111,60,22,Jurong
"1.433474,103.784895",730356,73,25,"Kranji, Woodgrove"
"1.3504442,103.954916",520293,52,18,"Tampines, Pasir Ris"
"1.434065,103.837098",760231,76,27,"Yishun, Sembawang"
"1.432147,103.779806",730345,73,25,"Kranji, Woodgrove"
"1.3475706,103.885553",535507,53,19,"Serangoon Garden, Hougang, Punggol"
"1.362142,103.747535",650324,65,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.39919,103.888752",541338,54,19,"Serangoon Garden, Hougang, Punggol"
"1.3584562,103.9384249",520522,52,18,"Tampines, Pasir Ris"
"1.448964,103.800993",732780,73,25,"Kranji, Woodgrove"
"1.3286041,103.8445356",320106,32,12,"Balestier, Toa Payoh, Serangoon"
"1.3509026,103.8384743",570310,57,20,"Bishan, Ang Mo Kio"
"1.4371095,103.8402837",760269,76,27,"Yishun, Sembawang"
"1.3265769,103.919335",460055,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.448011,103.817656",751339,75,27,"Yishun, Sembawang"
"1.363537,103.752193",650385,65,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.439066,103.77824",731180,73,25,"Kranji, Woodgrove"
"1.3364609,103.8897913",534120,53,19,"Serangoon Garden, Hougang, Punggol"
"1.290476,103.803114",140169,14,3,"Queenstown, Tiong Bahru"
"1.319306,103.826884",258235,25,10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
"1.326892,103.9038829",400327,40,14,"Geylang, Eunos"
"1.362716,103.876531",546172,54,19,"Serangoon Garden, Hougang, Punggol"
"1.346937,103.847385",570108,57,20,"Bishan, Ang Mo Kio"
"1.3892173,103.8736211",792405,79,28,Seletar
"1.348109,103.943659",520143,52,18,"Tampines, Pasir Ris"
"1.386795,103.897555",543206,54,19,"Serangoon Garden, Hougang, Punggol"
"1.4468507,103.8206956",750315,75,27,"Yishun, Sembawang"
"1.294272,103.838255",237988,23,9,"Orchard, Cairnhill, River Valley"
"1.379162,103.840939",560644,56,20,"Bishan, Ang Mo Kio"
"1.353778,103.725048",640411,64,22,Jurong
"1.297943,103.798438",143040,14,3,"Queenstown, Tiong Bahru"
"1.303454,103.913406",440028,44,15,"Katong, Joo Chiat, Amber Road"
"1.324016,103.936086",464029,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.358892,103.954333",520461,52,18,"Tampines, Pasir Ris"
"1.332597,103.789721",276307,27,10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
"1.3229585,103.7692129",120104,12,5,"Pasir Panjang, Hong Leong Garden, Clementi New Town"
"1.450626,103.818228",753354,75,27,"Yishun, Sembawang"
"1.320539,103.882589",380102,38,14,"Geylang, Eunos"
"1.3696384,103.898172",530337,53,19,"Serangoon Garden, Hougang, Punggol"
"1.314521,103.777885",276954,27,10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
"1.333941,103.857799",310259,31,12,"Balestier, Toa Payoh, Serangoon"
"1.354673,103.947203",520241,52,18,"Tampines, Pasir Ris"
"1.3444799,103.851784",570137,57,20,"Bishan, Ang Mo Kio"
"1.39758,103.895747",542286,54,19,"Serangoon Garden, Hougang, Punggol"
"1.337496,103.934178",479233,47,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.361185,103.94978",521496,52,18,"Tampines, Pasir Ris"
"1.341902,103.698339",640626,64,22,Jurong
"1.3797324,103.7420785",680284,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.3303879,103.925242",460547,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.3532181,103.7190328",640553,64,22,Jurong
"1.316652,103.880308",380052,38,14,"Geylang, Eunos"
"1.375783,103.767694",670144,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.393151,103.7472453",680760,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.422214,103.833668",760778,76,27,"Yishun, Sembawang"
"1.315527,103.9035384",426747,42,15,"Katong, Joo Chiat, Amber Road"
"1.341223,103.68641",640909,64,22,Jurong
"1.3276406,103.9304201",460417,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.437198,103.796968",730605,73,25,"Kranji, Woodgrove"
"1.384401,103.896332",542268,54,19,"Serangoon Garden, Hougang, Punggol"
"1.380954,103.889115",530562,53,19,"Serangoon Garden, Hougang, Punggol"
"1.313339,103.796381",267834,26,10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
"1.38443,103.842493",569786,56,20,"Bishan, Ang Mo Kio"
"1.3470329,103.9565745",520138,52,18,"Tampines, Pasir Ris"
"1.34101,103.95148",520101,52,18,"Tampines, Pasir Ris"
"1.3688586,103.8834802",530616,53,19,"Serangoon Garden, Hougang, Punggol"
"1.364056,103.746155",650411,65,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.329654,103.93873",460121,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.3686309,103.8432374",560210,56,20,"Bishan, Ang Mo Kio"
"1.306602,103.912045",428355,42,15,"Katong, Joo Chiat, Amber Road"
"1.327521,103.92225",461019,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.341555,103.7374011",600230,60,22,Jurong
"1.333566,103.870117",342105,34,13,"Macpherson, Braddell"
"1.379403,103.940865",510627,51,18,"Tampines, Pasir Ris"
"1.378707,103.877606",530965,53,19,"Serangoon Garden, Hougang, Punggol"
"1.3353784,103.9133739",470141,47,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.345746,103.740626",650172,65,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.336258,103.863422",350113,35,13,"Macpherson, Braddell"
"1.3720655,103.9579996",510454,51,18,"Tampines, Pasir Ris"
"1.3248841,103.9425366",461054,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.347317,103.934713",520898,52,18,"Tampines, Pasir Ris"
"1.4358136,103.7739505",730148,73,25,"Kranji, Woodgrove"
"1.333477,103.917668",470619,47,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.318289,103.748793",600408,60,22,Jurong
"1.4380174,103.8286473",769586,76,27,"Yishun, Sembawang"
"1.315366,103.887764",387986,38,14,"Geylang, Eunos"
"1.38202,103.747921",680211,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.298403,103.835873",238141,23,9,"Orchard, Cairnhill, River Valley"
"1.302328,103.906912",440082,44,15,"Katong, Joo Chiat, Amber Road"
"1.3282267,103.8563134",320054,32,12,"Balestier, Toa Payoh, Serangoon"
"1.350297,103.949425",520271,52,18,"Tampines, Pasir Ris"
"1.3256155,103.846963",328103,32,12,"Balestier, Toa Payoh, Serangoon"
"1.316548,103.920496",455770,45,15,"Katong, Joo Chiat, Amber Road"
"1.4372031,103.8325912",760170,76,27,"Yishun, Sembawang"
"1.33647,103.850664",310060,31,12,"Balestier, Toa Payoh, Serangoon"
"1.346349,103.939481",520929,52,18,"Tampines, Pasir Ris"
"1.310991,103.7716298",120415,12,5,"Pasir Panjang, Hong Leong Garden, Clementi New Town"
"1.381995,103.751866",680002,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.35966,103.937074",520715,52,18,"Tampines, Pasir Ris"
"1.3221624,103.9370039",465010,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.3106881,103.8851742",390052,39,14,"Geylang, Eunos"
"1.3551103,103.9525318",521221,52,18,"Tampines, Pasir Ris"
"1.391179,103.880374",792418,79,28,Seletar
"1.31392,103.902386",427806,42,15,"Katong, Joo Chiat, Amber Road"
"1.442722,103.802221",730791,73,25,"Kranji, Woodgrove"
"1.368256,103.8961549",530327,53,19,"Serangoon Garden, Hougang, Punggol"
"1.4512177,103.8163786",750473,75,27,"Yishun, Sembawang"
"1.344949,103.7150319",640206,64,22,Jurong
